modification_id	product_path	component_family	component_role	candidate_content_sha256	register_current_product_sha256	reapplication_classification	source_authority_id	source_authority_path	source_authority_sha256	contract_capability_state	real_credential_configuration	dry_run_OAuth_boundary_validated	live_OAuth_relevance	provider_runtime_profile_state	provider_reachability_claim	bounded_worker_profile_state	worker_execution_claim	credential_store_policy	denied_authority_policy	validation_lane_ids	owner_ticket	status
P15.M8-001	2_products/pepper-agent/hermes_cli/agent_platform/provider_credentials/__init__.py	provider_credentials	source_module	7374c728576c6fcc0b6cfa0a4bbeb418a4d71d7a23080fe3d85efe6d8e111bbb	7374c728576c6fcc0b6cfa0a4bbeb418a4d71d7a23080fe3d85efe6d8e111bbb	retain_product_divergence	P15.1-001	2_products/hermes-agent/hermes_cli/agent_platform/provider_credentials/__init__.py	9977a07e6a45abb58824647c4c879eabd7d02fd2db6b3d814a9c22c0ee004959	implemented_contract_capability	not_configured_no_real_credentials	validated_dry_run_only	no_live_OAuth_occurred_owner_P15.M11	not_provider_runtime_profile	not_claimed_unverified	not_bounded_worker_profile	not_executed	pool_only_contract_no_real_store_created	no_api_key;no_fallback;no_streaming;no_tools;no_MCP;no_model_list;no_usage;no_inference;no_worker_start;no_agent_start;no_Graphify;no_git_mutation;no_P15U_state	python_targeted_tests;provider_credential_boundary;client_token_metadata;oauth_acquisition_boundary	P15.M8	implemented_pending_human_approval
P15.M8-002	2_products/pepper-agent/hermes_cli/agent_platform/provider_credentials/contracts.py	provider_credentials	source_module	5585b2695be35e7fd079572a2257c3eec915b5e2ffa124bbb5d928850d137fd0	5585b2695be35e7fd079572a2257c3eec915b5e2ffa124bbb5d928850d137fd0	retain_product_divergence	P15.1-002	2_products/hermes-agent/hermes_cli/agent_platform/provider_credentials/contracts.py	902b187e2347ca132d1f30632be1f0cb4d40a640b0fae2473ce8fbaf8f5e08e7	implemented_contract_capability	not_configured_no_real_credentials	validated_dry_run_only	no_live_OAuth_occurred_owner_P15.M11	not_provider_runtime_profile	not_claimed_unverified	not_bounded_worker_profile	not_executed	pool_only_contract_no_real_store_created	no_api_key;no_fallback;no_streaming;no_tools;no_MCP;no_model_list;no_usage;no_inference;no_worker_start;no_agent_start;no_Graphify;no_git_mutation;no_P15U_state	python_targeted_tests;provider_credential_boundary;client_token_metadata	P15.M8	implemented_pending_human_approval
P15.M8-003	2_products/pepper-agent/hermes_cli/agent_platform/provider_credentials/client_tokens.py	provider_credentials	source_module	86965496c2dec570557da27844c51f5c7cfe00ccd11944df2458ede538cfdd1d	86965496c2dec570557da27844c51f5c7cfe00ccd11944df2458ede538cfdd1d	retain_product_divergence	P15.M8-client-token	Pepper direct P15.M8 addition	none	implemented_contract_capability	not_configured_no_real_credentials	validated_dry_run_only	no_live_OAuth_occurred_owner_P15.M11	not_provider_runtime_profile	not_claimed_unverified	not_bounded_worker_profile	not_executed	pool_only_contract_no_real_store_created	no_api_key;no_fallback;no_streaming;no_tools;no_MCP;no_model_list;no_usage;no_inference;no_worker_start;no_agent_start;no_Graphify;no_git_mutation;no_P15U_state	python_targeted_tests;client_token_metadata;provider_credential_boundary	P15.M8	implemented_pending_human_approval
P15.M8-004	2_products/pepper-agent/hermes_cli/agent_platform/provider_credentials/store.py	provider_credentials	source_module	0fb5340d0414527a4d419158e72283aabcf63da17e61b02cd398cc593107efa6	0fb5340d0414527a4d419158e72283aabcf63da17e61b02cd398cc593107efa6	retain_product_divergence	P15.1-003	2_products/hermes-agent/hermes_cli/agent_platform/provider_credentials/store.py	66035f52550d9f93120a2f04dd48a43e37d63d1bbd53def90ea39be26813b029	implemented_contract_capability	not_configured_no_real_credentials	validated_dry_run_only	no_live_OAuth_occurred_owner_P15.M11	not_provider_runtime_profile	not_claimed_unverified	not_bounded_worker_profile	not_executed	pool_only_contract_no_real_store_created	no_api_key;no_fallback;no_streaming;no_tools;no_MCP;no_model_list;no_usage;no_inference;no_worker_start;no_agent_start;no_Graphify;no_git_mutation;no_P15U_state	python_targeted_tests;provider_credential_boundary;credential_store_protection;windows_acl_policy	P15.M8	implemented_pending_human_approval
P15.M8-005	2_products/pepper-agent/hermes_cli/agent_platform/provider_credentials/delivery.py	provider_credentials	source_module	bbdb58157d94b60bb11a20d08fa37fb983e6eead41628f692ca9a56a5b18e983	bbdb58157d94b60bb11a20d08fa37fb983e6eead41628f692ca9a56a5b18e983	retain_product_divergence	P15.1-004	2_products/hermes-agent/hermes_cli/agent_platform/provider_credentials/delivery.py	e4e655e2f05cb0f185cb88037e15975ce5b67c91281ffbbc9d2a2bf23aa3421a	implemented_contract_capability	not_configured_no_real_credentials	validated_dry_run_only	no_live_OAuth_occurred_owner_P15.M11	not_provider_runtime_profile	not_claimed_unverified	not_bounded_worker_profile	not_executed	pool_only_contract_no_real_store_created;no_real_delivery_lease_created	no_api_key;no_fallback;no_streaming;no_tools;no_MCP;no_model_list;no_usage;no_inference;no_worker_start;no_agent_start;no_Graphify;no_git_mutation;no_P15U_state	python_targeted_tests;provider_credential_boundary;credential_lease_boundary	P15.M8	implemented_pending_human_approval
P15.M8-006	2_products/pepper-agent/hermes_cli/agent_platform/provider_credentials/oauth_acquisition.py	provider_credentials	source_module	0e63c8ea34c5e9f253fc0e91ae113a218d4ab76b4917b108cd8a8fe7a22959a6	0e63c8ea34c5e9f253fc0e91ae113a218d4ab76b4917b108cd8a8fe7a22959a6	retain_product_divergence	P15.1-005	2_products/hermes-agent/hermes_cli/agent_platform/provider_credentials/oauth_acquisition.py	ff0c96347e0ec3ac691785f133adf28d20a4f09ffe566db4e099b82645b2ffb6	implemented_contract_capability	not_configured_no_real_credentials	validated_dry_run_only	no_live_OAuth_occurred_owner_P15.M11	not_provider_runtime_profile	not_claimed_unverified	not_bounded_worker_profile	not_executed	pool_only_contract_no_real_store_created	no_api_key;no_fallback;no_streaming;no_tools;no_MCP;no_model_list;no_usage;no_inference;no_worker_start;no_agent_start;no_Graphify;no_git_mutation;no_P15U_state	python_targeted_tests;oauth_acquisition_boundary;provider_credential_boundary	P15.M8	implemented_pending_human_approval
P15.M8-007	2_products/pepper-agent/tests/hermes_cli/test_agent_platform_provider_credential_contracts.py	provider_credentials	test_module	cf09b93011acd1a6f61d4c037638968da0522dfecb88b1636277a5baafb63b46	cf09b93011acd1a6f61d4c037638968da0522dfecb88b1636277a5baafb63b46	retain_product_divergence	P15.1-006	2_products/hermes-agent/tests/hermes_cli/test_agent_platform_provider_credential_contracts.py	5d410064fc99827121e3807cdac25909633be3b3bbc4c72cd39f609b9036342b	implemented_contract_capability	not_configured_no_real_credentials	validated_dry_run_only	no_live_OAuth_occurred_owner_P15.M11	not_provider_runtime_profile	not_claimed_unverified	not_bounded_worker_profile	not_executed	pool_only_contract_no_real_store_created	no_api_key;no_fallback;no_streaming;no_tools;no_MCP;no_model_list;no_usage;no_inference;no_worker_start;no_agent_start;no_Graphify;no_git_mutation;no_P15U_state	python_targeted_tests;provider_credential_boundary	P15.M8	implemented_pending_human_approval
P15.M8-008	2_products/pepper-agent/tests/hermes_cli/test_agent_platform_provider_client_tokens.py	provider_credentials	test_module	fff8cccb2d65331156b8883df033da8c5ab301ad604e7a816993b64f5d810f7c	fff8cccb2d65331156b8883df033da8c5ab301ad604e7a816993b64f5d810f7c	retain_product_divergence	P15.M8-client-token-tests	Pepper direct P15.M8 addition	none	implemented_contract_capability	not_configured_no_real_credentials	validated_dry_run_only	no_live_OAuth_occurred_owner_P15.M11	not_provider_runtime_profile	not_claimed_unverified	not_bounded_worker_profile	not_executed	pool_only_contract_no_real_store_created	no_api_key;no_fallback;no_streaming;no_tools;no_MCP;no_model_list;no_usage;no_inference;no_worker_start;no_agent_start;no_Graphify;no_git_mutation;no_P15U_state	python_targeted_tests;client_token_metadata;provider_credential_boundary	P15.M8	implemented_pending_human_approval
P15.M8-009	2_products/pepper-agent/tests/hermes_cli/test_agent_platform_provider_credential_store.py	provider_credentials	test_module	cd418f766a8506f8ded5231720ea5654e3a5f5b74338a5f82ad4a2270d873b73	cd418f766a8506f8ded5231720ea5654e3a5f5b74338a5f82ad4a2270d873b73	retain_product_divergence	P15.1-007	2_products/hermes-agent/tests/hermes_cli/test_agent_platform_provider_credential_store.py	d618d07250f272d90f8b7cfa2bbc8f09e0056280130c09ef1c8582e4120e3cf0	implemented_contract_capability	not_configured_no_real_credentials	validated_dry_run_only	no_live_OAuth_occurred_owner_P15.M11	not_provider_runtime_profile	not_claimed_unverified	not_bounded_worker_profile	not_executed	pool_only_contract_no_real_store_created	no_api_key;no_fallback;no_streaming;no_tools;no_MCP;no_model_list;no_usage;no_inference;no_worker_start;no_agent_start;no_Graphify;no_git_mutation;no_P15U_state	python_targeted_tests;credential_store_protection;windows_acl_policy;provider_credential_boundary	P15.M8	implemented_pending_human_approval
P15.M8-010	2_products/pepper-agent/tests/hermes_cli/test_agent_platform_provider_credential_delivery.py	provider_credentials	test_module	07527577418b1903650877df6699b1e96c344ff965fa08563a436fda5ccad6c5	07527577418b1903650877df6699b1e96c344ff965fa08563a436fda5ccad6c5	retain_product_divergence	P15.1-008	2_products/hermes-agent/tests/hermes_cli/test_agent_platform_provider_credential_delivery.py	9a78f485238efac793c74fe348629339f51eb32e08c1d6415ad45f3dd44a1f6e	implemented_contract_capability	not_configured_no_real_credentials	validated_dry_run_only	no_live_OAuth_occurred_owner_P15.M11	not_provider_runtime_profile	not_claimed_unverified	not_bounded_worker_profile	not_executed	pool_only_contract_no_real_store_created;no_real_delivery_lease_created	no_api_key;no_fallback;no_streaming;no_tools;no_MCP;no_model_list;no_usage;no_inference;no_worker_start;no_agent_start;no_Graphify;no_git_mutation;no_P15U_state	python_targeted_tests;credential_lease_boundary;provider_credential_boundary	P15.M8	implemented_pending_human_approval
P15.M8-011	2_products/pepper-agent/tests/hermes_cli/test_agent_platform_openai_codex_oauth_acquisition.py	provider_credentials	test_module	dff268af46a66ff227ed00e76ae1fc27aa79f1f4a539e8413663e958c04c60d2	dff268af46a66ff227ed00e76ae1fc27aa79f1f4a539e8413663e958c04c60d2	retain_product_divergence	P15.1-009	2_products/hermes-agent/tests/hermes_cli/test_agent_platform_openai_codex_oauth_acquisition.py	243a885d5272ee8f31ace20be8c6c3fc51aafb8f5dedb5eef29d13a676fc9113	implemented_contract_capability	not_configured_no_real_credentials	validated_dry_run_only	no_live_OAuth_occurred_owner_P15.M11	not_provider_runtime_profile	not_claimed_unverified	not_bounded_worker_profile	not_executed	pool_only_contract_no_real_store_created	no_api_key;no_fallback;no_streaming;no_tools;no_MCP;no_model_list;no_usage;no_inference;no_worker_start;no_agent_start;no_Graphify;no_git_mutation;no_P15U_state	python_targeted_tests;oauth_acquisition_boundary;provider_credential_boundary	P15.M8	implemented_pending_human_approval
P15.M8-012	2_products/pepper-agent/hermes_cli/agent_platform/provider_runtime/__init__.py	provider_runtime	source_module	9874537f7eae131181b6f01a7c0cda51074bb6e5d105a679ac78ff070a63b873	9874537f7eae131181b6f01a7c0cda51074bb6e5d105a679ac78ff070a63b873	retain_product_divergence	P15.2-001	2_products/hermes-agent/hermes_cli/agent_platform/provider_runtime/__init__.py	ae819f0be594f356b308f0e1554f354676c5f2b91f5da5a1b948a4f7a6d4466e	implemented_contract_capability	not_configured_no_real_credentials	validated_dry_run_only	no_live_OAuth_occurred_owner_P15.M11	profile_ready_runtime_unverified	not_claimed_unverified	not_bounded_worker_profile	not_executed	pool_only_contract_no_real_store_created	no_api_key;no_fallback;no_streaming;no_tools;no_MCP;no_model_list;no_usage;no_inference;no_worker_start;no_agent_start;no_Graphify;no_git_mutation;no_P15U_state	python_targeted_tests;provider_runtime_profile;provider_credential_regression	P15.M8	implemented_pending_human_approval
