record_id	component_scope	source_path	product_path	artifact_type	artifact_sha256	declared_license	license_expression	copyright_or_attribution	primary_classification	included_in_product	notice_required	distribution_posture	canonical_rule	evidence_status	review_status	notes
P15M2-001	hermes_agent_root_license	LICENSE	LICENSE	license_file	821556e6336796450ab852d375117b48a4887e71d255794fd6318d99982a5ab6	MIT	MIT	Copyright (c) 2025 Nous Research	included_permissive	true	true	source_ready_with_notice	P15_M1B_committed_git_blob	complete	ready	Root MIT license is included in product and must remain with source distributions.
P15M2-002	hermes_agent_python_project	pyproject.toml	pyproject.toml	package_metadata	7fc0552a6bfdd8d58632a9164e3432c868fc4d928170f8c8a545421134c5952f	MIT	MIT	Nous Research	included_permissive	true	true	source_ready_with_notice	P15_M1B_committed_git_blob	complete	ready	PEP 639 project license declaration references LICENSE.
P15M2-003	hermes_agent_node_root	package.json	package.json	package_metadata	e53cfd9c14c1a7fa6bea9d9ee35c2a057cdf78ea1700ecb98f11fa710fbc2118	MIT	MIT	Nous Research	included_permissive	true	true	source_ready_with_notice	P15_M1B_committed_git_blob	complete	ready	Root npm package is private but declares MIT.
P15M2-004	hermes_agent_acp_registry	acp_registry/agent.json	acp_registry/agent.json	registry_metadata	5d45fa27a78264ba2220a1ea7d861ab64de95f89390f027ed696789b553db53d	MIT	MIT	Nous Research	included_permissive	true	true	source_ready_with_notice	P15_M1B_committed_git_blob	complete	ready	ACP metadata declares Hermes Agent MIT license and Nous Research authorship.
P15M2-005	web_dashboard_source	web/package.json	web/package.json	package_metadata	b31fcd3340ab9fff061a0d9cfbadc135c24dd6ba1aa49f87f6dbd13bbb6b18fd	root_project_mit	MIT	Nous Research	included_permissive	true	true	source_ready_with_notice	root_license_inheritance	complete	ready_with_constraints	Web Dashboard package has no separate license field and inherits root project MIT evidence.
P15M2-006	web_dashboard_built_assets	web/**	not_applicable	bundle_distribution_scope	not_applicable	multiple_dependencies	not_applicable	bundled frontend dependency graph	binary_distribution_review_required	false	true	blocked_pending_review	dependency_notice_review_required	incomplete	blocked_pending_review	Built Dashboard assets are not present in the candidate, but future bundles require dependency notice review before public distribution.
P15M2-007	desktop_source_package	apps/desktop/package.json	apps/desktop/package.json	package_metadata	66a9ab6fd40b4eb5a7b0164039f49caa1b0f392abad5c37b8b3fcdfc75bf43ed	root_project_mit	MIT	Nous Research	included_permissive	true	true	source_ready_with_notice	root_license_inheritance	complete	ready_with_constraints	Desktop source package is private and inherits root project MIT evidence.
P15M2-008	desktop_binary_packaging	apps/desktop/package.json	apps/desktop/package.json	binary_packaging_metadata	66a9ab6fd40b4eb5a7b0164039f49caa1b0f392abad5c37b8b3fcdfc75bf43ed	root_project_mit	MIT_AND_DEPENDENCY_LICENSES_UNRESOLVED	Electron builder targets and native dependencies	binary_distribution_review_required	true	true	blocked_pending_review	desktop_binary_notice_review_required	incomplete	blocked_pending_review	DMG ZIP NSIS MSI AppImage DEB and RPM outputs require transitive dependency notices and platform signing review.
P15M2-009	desktop_branding	apps/desktop/package.json	apps/desktop/package.json	branding_metadata	66a9ab6fd40b4eb5a7b0164039f49caa1b0f392abad5c37b8b3fcdfc75bf43ed	not_applicable	not_applicable	Hermes productName appId protocol icon artifactName and Nous Research strings	trademark_or_branding_review_required	true	not_applicable	blocked_pending_trademark_review	branding_authorization_required	complete	blocked_pending_review	Source licenses do not grant Hermes or Nous Research trademark rights.
P15M2-010	bootstrap_installer_packaging	apps/bootstrap-installer/src-tauri/tauri.conf.json	apps/bootstrap-installer/src-tauri/tauri.conf.json	installer_metadata	d2c83818ea4809e06b0980deb26a1397d5123280117cf84636b32aacadce8c63	root_project_mit	MIT_AND_DEPENDENCY_LICENSES_UNRESOLVED	Hermes installer publisher Nous Research copyright 2026	binary_distribution_review_required	true	true	blocked_pending_review	installer_notice_review_required	incomplete	blocked_pending_review	Tauri installer targets app dmg and appimage need platform and dependency notice review.
