record_id	path	artifact_scope	application_point	product_identifier	product_display_name	product_version	upstream_product_name	upstream_version	upstream_commit	visible_text_policy	technical_identifier_policy	feature_policy	extension_policy	asset_policy	legal_notice_policy	status
P15.M6-001	2_products/pepper-agent/hermes_cli/agent_platform/product_config.py	backend_identity_authority	validated_product_defaults	pepper	Pepper	0.1.0-dev	Hermes Agent	0.19.0	3ef6bbd201263d354fd83ec55b3c306ded2eb72a	No direct UI text; supplies validated product and upstream identity.	Preserves hermes_cli, hermes, HERMES_HOME and HERMES_* technical identifiers.	agent_platform.product_ui disabled.	extension_modules empty.	No asset, font, image or color asset introduced.	Supports THIRD_PARTY_NOTICES.md attribution without legal clearance claims.	implemented_pending_human_approval
P15.M6-002	2_products/pepper-agent/hermes_cli/web_server.py	backend_transport	protected_product_configuration_endpoint	pepper	Pepper	0.1.0-dev	Hermes Agent	0.19.0	3ef6bbd201263d354fd83ec55b3c306ded2eb72a	No public page text; endpoint summary names Pepper configuration.	Preserves existing /api namespace and dashboard authentication boundary.	Endpoint returns disabled product UI state.	Endpoint returns no selected extension modules.	No asset, font, image or color asset introduced.	Credential-free response supports attribution notice.	implemented_pending_human_approval
P15.M6-005	2_products/pepper-agent/web/src/agent-platform/product-config.ts	frontend_contract	strict_wire_parser_and_loader	pepper	Pepper	0.1.0-dev	Hermes Agent	0.19.0	3ef6bbd201263d354fd83ec55b3c306ded2eb72a	No independent identity fallback; consumes backend fields only.	Preserves HERMES_BASE_PATH and existing authenticated fetch transport.	Missing product configuration cannot enable features.	Malformed or duplicate extension modules fail closed.	No asset, font, image or color asset introduced.	Rejects unknown provider, token or credential fields.	implemented_pending_human_approval
P15.M6-006	2_products/pepper-agent/web/src/agent-platform/product-config-context.ts	frontend_context	immutable_nullable_context	pepper	Pepper	0.1.0-dev	Hermes Agent	0.19.0	3ef6bbd201263d354fd83ec55b3c306ded2eb72a	No visible text.	Preserves React application structure.	Null context cannot enable product UI.	No extension discovery.	No asset, font, image or color asset introduced.	No legal notice effect.	implemented_pending_human_approval
P15.M6-007	2_products/pepper-agent/web/src/agent-platform/product-config-provider.tsx	frontend_provider	product_configuration_provider_and_token_css_import	pepper	Pepper	0.1.0-dev	Hermes Agent	0.19.0	3ef6bbd201263d354fd83ec55b3c306ded2eb72a	No visible text.	Preserves existing React provider nesting with one added bounded provider.	Null provider value cannot enable product UI.	No extension discovery.	Imports semantic token aliases only.	No legal notice effect.	implemented_pending_human_approval
P15.M6-009	2_products/pepper-agent/web/src/agent-platform/design-system/brand.ts	frontend_brand_projection	text_first_product_and_upstream_projection	pepper	Pepper	0.1.0-dev	Hermes Agent	0.19.0	3ef6bbd201263d354fd83ec55b3c306ded2eb72a	Projects display text only from validated configuration.	No package, route, protocol or environment identifier changes.	No feature activation logic.	No extension activation logic.	No asset, font, image or color asset introduced.	No endorsement or distribution claim.	implemented_pending_human_approval
P15.M6-010	2_products/pepper-agent/web/src/agent-platform/design-system/tokens.ts	frontend_design_tokens	semantic_token_catalog	pepper	Pepper	0.1.0-dev	Hermes Agent	0.19.0	3ef6bbd201263d354fd83ec55b3c306ded2eb72a	No visible text or product name constants.	Uses agent-platform semantic variable namespace only.	No feature activation logic.	No extension activation logic.	No asset, font, image or color value introduced.	No legal notice effect.	implemented_pending_human_approval
P15.M6-011	2_products/pepper-agent/web/src/agent-platform/design-system/tokens.css	frontend_design_tokens	semantic_css_aliases	pepper	Pepper	0.1.0-dev	Hermes Agent	0.19.0	3ef6bbd201263d354fd83ec55b3c306ded2eb72a	No visible text or product name constants.	Aliases inherited theme variables; no package, route or protocol identifiers changed.	No feature activation logic.	No extension activation logic.	No colors, URLs, fonts or assets introduced.	No legal notice effect.	implemented_pending_human_approval
P15.M6-012	2_products/pepper-agent/web/src/agent-platform/design-system/index.ts	frontend_design_boundary	bounded_design_exports	pepper	Pepper	0.1.0-dev	Hermes Agent	0.19.0	3ef6bbd201263d354fd83ec55b3c306ded2eb72a	No visible text.	Exports only product-owned design contracts.	No feature activation logic.	No extension activation logic.	No asset, font, image or color asset introduced.	No legal notice effect.	implemented_pending_human_approval
P15.M6-014	2_products/pepper-agent/web/src/agent-platform/shell/brand-lockup.tsx	frontend_shell_branding	text_first_shell_lockup	pepper	Pepper	0.1.0-dev	Hermes Agent	0.19.0	3ef6bbd201263d354fd83ec55b3c306ded2eb72a	Renders Pepper product text and Hermes Agent upstream attribution only from validated configuration.	Preserves existing fallback text when product configuration is unavailable.	No feature activation logic.	No extension activation logic.	No logo, icon, image, font or external asset introduced.	Does not imply upstream endorsement.	implemented_pending_human_approval
