record_id	product_path	product_artifact_kind	p14_authority_record_id	p14_authority_path	p14_authority_sha256	pepper_current_sha256	application_action	pepper_profile_id	product_id_policy	product_ui_policy	extension_module_policy	runtime_boundary_policy	denied_authority_policy	validation_lane_ids	register_modification_id	owner_ticket	status	notes
P15.M7-001	2_products/pepper-agent/hermes_cli/agent_platform/runtime_adapter/__init__.py	runtime_adapter_source_module	P14.1-001	2_products/hermes-agent/hermes_cli/agent_platform/runtime_adapter/__init__.py	b00713299348f74188568696bc0cc11eb517de3f7424c2fbb08a6f200797295d	294b7640a976c9c93ec1c0c490b3f4cacbf732aab50dd32bbe5efe90ea2a2098	p14_runtime_adapter_authority_applied_to_pepper_0_19_provider_null	pepper.dashboard.provider_null;test.lifecycle_probe	pepper_only	agent_platform.product_ui_disabled	extension_modules_empty	internal_runtime_adapter_source;root_exports_contract_only	no_provider_credentials;no_provider_inference;no_worker_start;no_agent_start;no_tool_execution;no_MCP_execution;no_public_runtime_HTTP_API;no_runtime_UI_controls;no_git_mutation;no_P15U_state	python_targeted_tests;ruff;windows_footgun;runtime_adapter_contracts;contract_source_guard;pepper_runtime_adapter_application;provider_null_runtime	P15.M7-001	P15.M7	implemented_pending_human_approval	Derived only from P14 authority files in this P15M checkout; no files copied from P15U.
P15.M7-002	2_products/pepper-agent/hermes_cli/agent_platform/runtime_adapter/enums.py	runtime_adapter_source_module	P14.1-002	2_products/hermes-agent/hermes_cli/agent_platform/runtime_adapter/enums.py	37d434d4297c883ce5752d4d0cb02facf9e939e8d5ff1beb51fcb497a7642d5d	5ec9bcefa9c8501b074d41604403b8e354839ad469784e24aedc5072a94318f9	p14_runtime_adapter_authority_applied_to_pepper_0_19_provider_null	pepper.dashboard.provider_null;test.lifecycle_probe	pepper_only	agent_platform.product_ui_disabled	extension_modules_empty	internal_runtime_adapter_source;root_exports_contract_only	no_provider_credentials;no_provider_inference;no_worker_start;no_agent_start;no_tool_execution;no_MCP_execution;no_public_runtime_HTTP_API;no_runtime_UI_controls;no_git_mutation;no_P15U_state	python_targeted_tests;ruff;windows_footgun;runtime_adapter_contracts;contract_source_guard;pepper_runtime_adapter_application;provider_null_runtime	P15.M7-002	P15.M7	implemented_pending_human_approval	Derived only from P14 authority files in this P15M checkout; no files copied from P15U.
P15.M7-003	2_products/pepper-agent/hermes_cli/agent_platform/runtime_adapter/errors.py	runtime_adapter_source_module	P14.1-003	2_products/hermes-agent/hermes_cli/agent_platform/runtime_adapter/errors.py	b4b4fe2e9e2e50c025f7c4a1cbf1ba85a4a8b1397630281b853a4e13bc073fa7	68205a2d6ba18be7feaa05f1568a15a442c1799ad1df8a120feab1ee7184e465	p14_runtime_adapter_authority_applied_to_pepper_0_19_provider_null	pepper.dashboard.provider_null;test.lifecycle_probe	pepper_only	agent_platform.product_ui_disabled	extension_modules_empty	internal_runtime_adapter_source;root_exports_contract_only	no_provider_credentials;no_provider_inference;no_worker_start;no_agent_start;no_tool_execution;no_MCP_execution;no_public_runtime_HTTP_API;no_runtime_UI_controls;no_git_mutation;no_P15U_state	python_targeted_tests;ruff;windows_footgun;runtime_adapter_contracts;contract_source_guard;pepper_runtime_adapter_application;provider_null_runtime	P15.M7-003	P15.M7	implemented_pending_human_approval	Derived only from P14 authority files in this P15M checkout; no files copied from P15U.
P15.M7-004	2_products/pepper-agent/hermes_cli/agent_platform/runtime_adapter/contracts.py	runtime_adapter_source_module	P14.1-004	2_products/hermes-agent/hermes_cli/agent_platform/runtime_adapter/contracts.py	524b4eaaaf351d043fab2097290b40e25692093d1df875d9d65fb4368786f86e	4cbfcd82261a61892d75b1eeced3ea6ea62727cf7770f3dca2e83d6f47ed5830	p14_runtime_adapter_authority_applied_to_pepper_0_19_provider_null	pepper.dashboard.provider_null;test.lifecycle_probe	pepper_only	agent_platform.product_ui_disabled	extension_modules_empty	internal_runtime_adapter_source;root_exports_contract_only	no_provider_credentials;no_provider_inference;no_worker_start;no_agent_start;no_tool_execution;no_MCP_execution;no_public_runtime_HTTP_API;no_runtime_UI_controls;no_git_mutation;no_P15U_state	python_targeted_tests;ruff;windows_footgun;runtime_adapter_contracts;contract_source_guard;pepper_runtime_adapter_application;provider_null_runtime	P15.M7-004	P15.M7	implemented_pending_human_approval	Derived only from P14 authority files in this P15M checkout; no files copied from P15U.
P15.M7-005	2_products/pepper-agent/hermes_cli/agent_platform/runtime_adapter/state_machine.py	runtime_adapter_source_module	P14.1-005	2_products/hermes-agent/hermes_cli/agent_platform/runtime_adapter/state_machine.py	956c2bb0511143617a92674e4b768f4a1b8a470203db8beda85a08813c1dfeb3	6dd45719c19e905168d15a6e3627a8e96b3c7a153719e43cc7da64ff97e5b7fe	p14_runtime_adapter_authority_applied_to_pepper_0_19_provider_null	pepper.dashboard.provider_null;test.lifecycle_probe	pepper_only	agent_platform.product_ui_disabled	extension_modules_empty	internal_runtime_adapter_source;root_exports_contract_only	no_provider_credentials;no_provider_inference;no_worker_start;no_agent_start;no_tool_execution;no_MCP_execution;no_public_runtime_HTTP_API;no_runtime_UI_controls;no_git_mutation;no_P15U_state	python_targeted_tests;ruff;windows_footgun;runtime_adapter_contracts;contract_source_guard;pepper_runtime_adapter_application;provider_null_runtime	P15.M7-005	P15.M7	implemented_pending_human_approval	Derived only from P14 authority files in this P15M checkout; no files copied from P15U.
P15.M7-006	2_products/pepper-agent/tests/hermes_cli/test_agent_platform_runtime_adapter_contracts.py	runtime_adapter_test_module	P14.1-006	2_products/hermes-agent/tests/hermes_cli/test_agent_platform_runtime_adapter_contracts.py	931f9094c17dd26812330cb75eefe84676e0a303c394bb0510934c28e47fc799	1e55bc36b019ca83df9c2dc52a3295805893e6ae639bc727b4c4fbef8dd0a338	p14_runtime_adapter_authority_applied_to_pepper_0_19_provider_null	pepper.dashboard.provider_null;test.lifecycle_probe	pepper_only	agent_platform.product_ui_disabled	extension_modules_empty	test_coverage_only	no_provider_credentials;no_provider_inference;no_worker_start;no_agent_start;no_tool_execution;no_MCP_execution;no_public_runtime_HTTP_API;no_runtime_UI_controls;no_git_mutation;no_P15U_state	python_targeted_tests;ruff;windows_footgun;runtime_adapter_contracts;contract_source_guard;pepper_runtime_adapter_application;provider_null_runtime	P15.M7-006	P15.M7	implemented_pending_human_approval	Derived only from P14 authority files in this P15M checkout; no files copied from P15U.
P15.M7-007	2_products/pepper-agent/hermes_cli/agent_platform/runtime_adapter/process_owner.py	runtime_adapter_source_module	P14.2-001	2_products/hermes-agent/hermes_cli/agent_platform/runtime_adapter/process_owner.py	2bd9a9fc3b80a4f4f326232cbba4de2571cf3f0ece8d4bbcfc14360f1b9cc5a0	aeee84accc4911136d4236e8ebef71e91ffdc73fe2989b164e1a4cbe8ccf7024	p14_runtime_adapter_authority_applied_to_pepper_0_19_provider_null	pepper.dashboard.provider_null;test.lifecycle_probe	pepper_only	agent_platform.product_ui_disabled	extension_modules_empty	internal_runtime_adapter_source;root_exports_contract_only	no_provider_credentials;no_provider_inference;no_worker_start;no_agent_start;no_tool_execution;no_MCP_execution;no_public_runtime_HTTP_API;no_runtime_UI_controls;no_git_mutation;no_P15U_state	python_targeted_tests;ruff;windows_footgun;runtime_process_owner;runtime_shutdown_rollback;contract_source_guard;pepper_runtime_adapter_application;provider_null_runtime	P15.M7-007	P15.M7	implemented_pending_human_approval	Derived only from P14 authority files in this P15M checkout; no files copied from P15U.
P15.M7-008	2_products/pepper-agent/hermes_cli/agent_platform/runtime_adapter/process_tree.py	runtime_adapter_source_module	P14.2-002	2_products/hermes-agent/hermes_cli/agent_platform/runtime_adapter/process_tree.py	2823be63fee5e56977df3f4cf23605aa3b5ac94552e9de68a54bdff4b22f6474	ef52cc13f9c92d806b892deee81f21ff77cf6a89e056843344adee31b75617c0	p14_runtime_adapter_authority_applied_to_pepper_0_19_provider_null	pepper.dashboard.provider_null;test.lifecycle_probe	pepper_only	agent_platform.product_ui_disabled	extension_modules_empty	internal_runtime_adapter_source;root_exports_contract_only	no_provider_credentials;no_provider_inference;no_worker_start;no_agent_start;no_tool_execution;no_MCP_execution;no_public_runtime_HTTP_API;no_runtime_UI_controls;no_git_mutation;no_P15U_state	python_targeted_tests;ruff;windows_footgun;runtime_process_owner;contract_source_guard;pepper_runtime_adapter_application;provider_null_runtime	P15.M7-008	P15.M7	implemented_pending_human_approval	Derived only from P14 authority files in this P15M checkout; no files copied from P15U.
P15.M7-009	2_products/pepper-agent/hermes_cli/agent_platform/runtime_adapter/stream_capture.py	runtime_adapter_source_module	P14.2-003	2_products/hermes-agent/hermes_cli/agent_platform/runtime_adapter/stream_capture.py	8af759e4efa5358673b6162f96ad5ab875940834f8516c5faaa011d55dfa15fd	4ec18a35e44fbae240f82ce3961991eb9392ac76b136b0e6fc8db86096793dd1	p14_runtime_adapter_authority_applied_to_pepper_0_19_provider_null	pepper.dashboard.provider_null;test.lifecycle_probe	pepper_only	agent_platform.product_ui_disabled	extension_modules_empty	internal_runtime_adapter_source;root_exports_contract_only	no_provider_credentials;no_provider_inference;no_worker_start;no_agent_start;no_tool_execution;no_MCP_execution;no_public_runtime_HTTP_API;no_runtime_UI_controls;no_git_mutation;no_P15U_state	python_targeted_tests;ruff;windows_footgun;runtime_process_owner;contract_source_guard;pepper_runtime_adapter_application;provider_null_runtime	P15.M7-009	P15.M7	implemented_pending_human_approval	Derived only from P14 authority files in this P15M checkout; no files copied from P15U.
P15.M7-010	2_products/pepper-agent/tests/hermes_cli/runtime_adapter_lifecycle_probe.py	runtime_adapter_inert_lifecycle_probe	P14.2-004	2_products/hermes-agent/tests/hermes_cli/runtime_adapter_lifecycle_probe.py	bc2135809081c98512c6623b01a1c5b1eb96a98df1c43452336030137398585d	ef4dec9f47eb96fb99eac72b307f1311a03560b56dc9d1bf7f58bb886548dad3	p14_runtime_adapter_authority_applied_to_pepper_0_19_provider_null	pepper.dashboard.provider_null;test.lifecycle_probe	pepper_only	agent_platform.product_ui_disabled	extension_modules_empty	test_inert_probe_only	no_provider_credentials;no_provider_inference;no_worker_start;no_agent_start;no_tool_execution;no_MCP_execution;no_public_runtime_HTTP_API;no_runtime_UI_controls;no_git_mutation;no_P15U_state	python_targeted_tests;ruff;windows_footgun;runtime_process_owner;runtime_shutdown_rollback;runtime_adapter_conformance;contract_source_guard;pepper_runtime_adapter_application;provider_null_runtime	P15.M7-010	P15.M7	implemented_pending_human_approval	Derived only from P14 authority files in this P15M checkout; no files copied from P15U.
