record_id	source_product	source_version	source_path	surface_family	capability	owning_process_or_service	authority_type	current_Pepper_owner	state_read	state_written	credential_interaction	filesystem_interaction	process_interaction	network_interaction	update_interaction	deployment_interaction	overlap_classification	adoption_disposition	required_boundary	required_action	owner_ticket	evidence_status	blocker	notes
P15M4-00001	Pepper_P13	P13_active	0_architecture/governance/agent_platform_hermes_0_19_migration_authorization.md	p13_shell_route_authority	canonical product UI during migration	Pepper_web_server_and_P13_frontend	product_routing_authority	Pepper_P13	reads_product_configuration	writes_browser_ui_state	no_credential_interaction	no_direct_filesystem_authority	no_process_spawn_authority	uses_existing_Pepper_API	no_update_authority	no_deployment_authority	Pepper_canonical	selectively_forward_port	preserve_P13_namespace_and_descriptor_authority	freeze selected surface map without route transfer	P15.M5	parsed	none	evidence_lines=410-413
P15M4-00002	Pepper_P13	P13_active	2_products/hermes-agent/hermes_cli/agent_platform/product_config.py	p13_product_config	feature flags and extension module allowlist	Pepper_backend_product_config_router	product_configuration_authority	Pepper_P13	reads_static_defaults	no_runtime_state_written	rejects_credentialed_product_URLs	no_filesystem_authority_beyond_committed_config	no_process_interaction	served_over_existing_product_API	no_update_authority	no_deployment_authority	Pepper_canonical	selectively_forward_port	preserve_credential_free_static_product_config	forward-port only through registered descriptors	P15.M6	parsed	none	evidence_lines=60-100
P15M4-00003	Pepper_P13	P13_active	2_products/hermes-agent/web/src/agent-platform/product-config.ts	p13_frontend_config_gate	strict product configuration parsing and fail-closed feature state	P13_frontend	frontend_gate_authority	Pepper_P13	reads_api_agent_platform_product_configuration	writes_in_memory_product_config_state	no_credential_interaction	no_filesystem_interaction	no_process_interaction	fetches_product_config_API	no_update_authority	no_deployment_authority	Pepper_canonical	selectively_forward_port	preserve_fail_closed_config_gate	block Workspace or Desktop shell bypass	P15.M6	parsed	none	evidence_lines=74-133
P15M4-00004	Pepper_P13	P13_active	2_products/hermes-agent/web/src/agent-platform/extensions.ts	p13_descriptor_catalog	static reviewed product extension descriptor catalog	P13_frontend	static_route_descriptor_authority	Pepper_P13	reads_compiled_descriptors	writes_route_registration_in_memory	no_credential_interaction	no_filesystem_interaction	no_process_interaction	no_new_network_authority	no_update_authority	no_deployment_authority	Pepper_canonical	selectively_forward_port	preserve_static_descriptor_catalog	no dynamic import path or external shell authority	P15.M6	parsed	none	evidence_lines=52-60
P15M4-00005	Pepper_P13	P13_active	2_products/hermes-agent/web/src/agent-platform/extensions.ts	p13_descriptor_validation	validate product paths, route collisions and navigation group anchoring	P13_frontend	namespace_validation_authority	Pepper_P13	reads_descriptor_paths	writes_validated_descriptor_map	no_credential_interaction	no_filesystem_interaction	no_process_interaction	no_network_interaction	no_update_authority	no_deployment_authority	Pepper_canonical	selectively_forward_port	preserve_descriptor_validation	prevent route collision or external namespace claim	P15.M6	parsed	none	evidence_lines=72-120
P15M4-00006	Pepper_P13	P13_active	2_products/hermes-agent/web/src/App.tsx	p13_route_composition	compose registered product extensions into routes and navigation	P13_frontend	composition_authority	Pepper_P13	reads_builtin_routes_and_product_extensions	writes_in_memory_route_map	no_credential_interaction	no_filesystem_interaction	no_process_interaction	no_new_network_authority	no_update_authority	no_deployment_authority	Pepper_canonical	selectively_forward_port	preserve_P13_route_composition	no Desktop or Workspace route import	P15.M5	parsed	none	evidence_lines=466-508
P15M4-00007	Pepper_P13	P13_active	2_products/hermes-agent/web/src/agent-platform/shell/navigation.ts	p13_plugin_namespace_guard	block plugin paths or overrides that can claim /agent-platform namespace	P13_frontend	namespace_guard_authority	Pepper_P13	reads_plugin_manifests	writes_filtered_manifest_list	no_credential_interaction	no_filesystem_interaction	no_process_interaction	no_network_interaction	no_update_authority	no_deployment_authority	Pepper_canonical	selectively_forward_port	preserve_namespace_guard	keep plugin filtering separate from plugin sandboxing	P15.M5	parsed	none	evidence_lines=87-108
P15M4-00008	Pepper_P13	P13_active	2_products/hermes-agent/web/src/agent-platform/runtime-overview/descriptor.ts	p13_runtime_overview_route	/agent-platform/overview Runtime Overview route and navigation	P13_frontend	product_route_authority	P13_Runtime_Overview	reads_runtime_overview_API_state	writes_frontend_navigation_state	no_credential_interaction	no_direct_filesystem_authority	no_process_spawn_authority	uses_existing_Pepper_API	no_update_authority	no_deployment_authority	Pepper_canonical	selectively_forward_port	preserve_current_route_owner	reconcile Dashboard Desktop Workspace status patterns only	P15.M6	parsed	none	evidence_lines=6-21
P15M4-00009	Pepper_P13	P13_active	2_products/hermes-agent/web/src/agent-platform/projects-tickets/descriptors.ts	p13_projects_tickets_routes	projects, project detail and ticket detail route family	P13_frontend	product_route_authority	P13_Projects_Tickets	reads_Kanban_and_ticket_state	writes_ticket_UI_state_only	no_credential_interaction	no_direct_filesystem_authority	no_process_spawn_authority	uses_existing_Pepper_API	no_update_authority	no_deployment_authority	Pepper_canonical	selectively_forward_port	preserve_current_route_owner	compare Workspace task patterns without importing shell	P15.M6	parsed	none	evidence_lines=8-54
P15M4-00010	Pepper_P13	P13_active	2_products/hermes-agent/web/src/agent-platform/approval-inbox/descriptors.ts	p13_approval_inbox_routes	approval inbox and approval detail route family	P13_frontend	approval_route_authority	P13_Approval_Inbox	reads_approval_state	writes_approval_UI_state_only	no_credential_interaction	no_direct_filesystem_authority	no_process_spawn_authority	uses_existing_Pepper_API	no_update_authority	no_deployment_authority	Pepper_canonical	selectively_forward_port	preserve_human_approval_authority	Desktop notifications and Workspace operations remain non-authoritative	P15.M6	parsed	none	evidence_lines=7-40
P15M4-00011	Pepper_P13	P13_active	2_products/hermes-agent/web/src/agent-platform/execution-inspector/descriptors.ts	p13_execution_inspector_routes	execution inspector and execution detail route family	P13_frontend	execution_route_authority	P13_Execution_Inspector	reads_execution_state	writes_execution_UI_state_only	no_credential_interaction	no_direct_filesystem_authority	no_process_spawn_authority	uses_existing_Pepper_API	no_update_authority	no_deployment_authority	Pepper_canonical	selectively_forward_port	preserve_current_execution_owner	compare Workspace jobs and Desktop terminal only as references	P15.M6	parsed	none	evidence_lines=7-40
P15M4-00012	Pepper_P13	P13_active	2_products/hermes-agent/web/src/agent-platform/safe-settings/descriptor.ts	p13_safe_settings_route	/agent-platform/settings Safe Settings route and navigation	P13_frontend	safe_settings_authority	P13_Safe_Settings	reads_product_safe_settings	writes_safe_settings_UI_state_only	no_credential_interaction	no_direct_filesystem_authority	no_process_spawn_authority	uses_existing_Pepper_API	no_update_authority	no_deployment_authority	Pepper_canonical	selectively_forward_port	preserve_safe_settings_authority	Desktop and Workspace settings remain reference only	P15.M6	parsed	none	evidence_lines=6-21
P15M4-00013	Hermes_Web_Dashboard	Hermes_Agent_0.19.0	0_architecture/governance/agent_platform_hermes_0_19_workspace_adoption_assessment.md	web_dashboard_reference_role	browser dashboard route and gateway comparison source	Hermes_Agent_web_dashboard	reference_surface	Pepper_P13	reads_dashboard_runtime_state	may_write_dashboard_UI_state_when_run_but_not_run_here	may_surface_config_credentials_but_not_read_here	browser_files_route_reference_only	no_process_spawn_authority_in_P15M4	gateway_and_dashboard_API_reference	no_update_authority	no_deployment_authority	route_by_route_forward_port_candidate	reference_only	preserve_route_by_route_review_boundary	compare only through P15.M5 and P15.M6	P15.M5	parsed	none	evidence_lines=123-136
P15M4-00014	Hermes_Web_Dashboard	Hermes_Agent_0.19.0	0_architecture/governance/agent_platform_hermes_0_19_workspace_adoption_assessment.md	web_dashboard_routes	sessions files analytics models logs cron skills plugins MCP profiles config env and docs route inventory	Hermes_Agent_web_dashboard	route_inventory_reference	Pepper_P13	reads_dashboard_backend_state	may_write_dashboard_UI_state_when_run_but_not_run_here	may_expose_config_env_surfaces_but_not_read_here	files_route_reference_only	no_process_spawn_authority_in_P15M4	gateway_API_reference	no_update_authority	no_deployment_authority	route_by_route_forward_port_candidate	reference_only	P13_descriptors_must_remain_route_authority	inventory route parity only	P15.M5	parsed	none	evidence_lines=129-136
P15M4-00015	Hermes_Web_Dashboard	Hermes_Agent_0.19.0	0_architecture/governance/agent_platform_hermes_0_19_workspace_adoption_assessment.md	web_dashboard_gateway_reference	headless serve and dashboard gateway expectations	Hermes_Agent_backend_gateway	backend_adapter_reference	P14_Runtime_Adapter	reads_gateway_health_and_routes	no_P15M4_state_written	no_credential_read	no_filesystem_interaction	backend_started_only_in_future_governed_runtime	gateway_HTTP_WebSocket_reference	no_update_authority	no_deployment_authority	backend_adapter_candidate	reference_only	map_gateway_contract_to_P14_before_runtime_use	use as compatibility evidence only	P15.M7	parsed	none	evidence_lines=131-135
P15M4-00016	Hermes_Desktop	Desktop_0.17.0_in_Hermes_Agent_0.19.0	2_products/pepper-agent/apps/desktop/package.json	desktop_package_identity	private Electron desktop shell package	Electron_app_package	package_manifest_authority	Pepper_P13_retained	reads_package_metadata	no_runtime_state_written_by_P15M4	no_credential_interaction	no_filesystem_interaction	no_process_interaction	no_network_interaction	no_update_interaction	no_deployment_interaction	reference_for_future_enhancement	retain_disabled	Desktop_package_must_not_grant_product_authority	retain as candidate source only	P15.M4	parsed	desktop_disabled_by_decision	evidence_lines=1-12
P15M4-00017	Hermes_Desktop	Desktop_0.17.0_in_Hermes_Agent_0.19.0	2_products/pepper-agent/apps/desktop/package.json	desktop_build_scripts	dev build pack dist test typecheck lint check scripts	Electron_app_package	build_script_authority	Pepper_P13_retained	reads_source_and_dependencies_when_run_but_not_run_here	would_write_dist_release_outputs_when_run_but_not_run_here	may_use_signing_env_when_distribution_runs	would_read_and_write_build_tree_when_run_but_not_run_here	would_spawn_node_electron_build_tools_when_run_but_not_run_here	may_fetch_runtime_assets_when_scripts_run_but_not_run_here	builder_and_update_scripts_present	distribution_targets_present	reference_for_future_enhancement	retain_disabled	builds_forbidden_until_packaging_governance	no build script execution	P15.M18	parsed	packaging_review_required	evidence_lines=13-52
P15M4-00018	Hermes_Desktop	Desktop_0.17.0_in_Hermes_Agent_0.19.0	2_products/pepper-agent/apps/desktop/package.json	desktop_packaging_installers_signing	Electron Builder app id protocol ASAR macOS Windows Linux NSIS MSI targets	Electron_builder	packaging_authority	Pepper_P13_retained	reads_package_config_and_assets_when_run_but_not_run_here	would_write_release_artifacts_when_run_but_not_run_here	signing_credentials_possible_but_not_read_here	would_package_files_when_run_but_not_run_here	would_spawn_builder_when_run_but_not_run_here	may_contact_signing_or_release_services_when_authorized_later	update_and_signing_hooks_present	installer_targets_present	reference_for_future_enhancement	defer_pending_deployment_governance	signing_and_distribution_boundary_required	define package provenance and signing rules	P15.M18	parsed	packaging_review_required	evidence_lines=157-268
P15M4-00019	Hermes_Desktop	Desktop_0.17.0_in_Hermes_Agent_0.19.0	2_products/pepper-agent/apps/desktop/README.md	desktop_architecture_boundaries	Electron owns native capabilities React owns Desktop UI Hermes Agent owns headless backend	Electron_main_renderer_and_Hermes_backend	local_client_architecture	Pepper_P13_retained	reads_HERMES_HOME_and_backend_state_when_run	would_write_desktop_interaction_state_when_run	credentials_may_flow_through_backend_but_not_read_here	Electron_owns_native_filesystem_git_window_capabilities	backend_process_owned_by_Electron_when_enabled	JSON_RPC_WebSocket_gateway_reference	no_update_authority_in_P15M4	no_deployment_authority_in_P15M4	reference_for_future_enhancement	future_governed_local_client	separate_native_client_from_product_route_authority	keep disabled pending local-client governance	P15.M7	parsed	desktop_disabled_by_decision	evidence_lines=88-122
P15M4-00020	Hermes_Desktop	Desktop_0.17.0_in_Hermes_Agent_0.19.0	2_products/pepper-agent/apps/desktop/electron/main.ts	desktop_main_process	BrowserWindow creation and Electron main native authority	Electron_main_process	native_shell_authority	Pepper_P13_retained	reads_window_state	writes_window_state_when_run	no_direct_credential_interaction_in_this_row	reads_app_icon_and_preload_paths	creates_BrowserWindow_when_run	loads_renderer_URL_when_run	no_update_interaction_in_this_row	no_deployment_interaction	unsafe_authority_rejected	future_governed_local_client	Electron_main_capability_audit_required	keep Desktop disabled until native authority review	P15.M7	parsed	desktop_native_authority_not_governed	evidence_lines=7529-7559
