record_id	source_product	source_version	source_path	surface_family	surface_type	surface_name	route_or_command	current_authority_type	current_Pepper_owner	equivalent_Pepper_surface	data_or_state_read	data_or_state_written	credential_interaction	provider_interaction	filesystem_interaction	process_interaction	network_interaction	approval_interaction	update_interaction	deployment_interaction	risk_classification	overlap_classification	disposition	required_backend_contract	required_security_boundary	required_approval_boundary	required_redaction	required_action	destination_surface	owner_ticket	priority	evidence_status	blocker	acceptance_criteria	notes
P13_001	Pepper P13	P13	2_products/hermes-agent/web/src/agent-platform/shell/navigation.ts:27-153	shell	web_panel	P13 product shell group	/agent-platform/*	Pepper_P13_UI_authority	Pepper P13 shell	self	product navigation group and protected namespace	none	none	none	none	none	none	none	none	none	read_only_low_risk	Pepper_governed_superset	retain_P13_canonical	not_applicable	protected namespace blocks plugin claims	not_applicable	product namespace only	retain existing shell grouping	/agent-platform shell	P15.M5	critical	static_evidence_path_line	none	P13 shell remains canonical and plugin namespace claims remain blocked	Retain as canonical product shell authority.
P13_002	Pepper P13	P13	2_products/hermes-agent/web/src/agent-platform/shell/navigation.ts:87-109	navigation	web_panel	Protected plugin navigation filter	/agent-platform navigation	Pepper_P13_UI_authority	Pepper P13 navigation	self	plugin manifest route claims	blocked manifest count	none	none	none	none	none	none	none	none	read_only_low_risk	Pepper_governed_superset	retain_P13_canonical	not_applicable	plugin manifests cannot claim product namespace	not_applicable	not_applicable	retain blocklist behavior	/agent-platform navigation	P15.M5	critical	static_evidence_path_line	none	No upstream nav may override protected product routes	Navigation authority remains P13.
P13_003	Pepper P13	P13	2_products/hermes-agent/web/src/agent-platform/extensions.ts:52-60	navigation	web_route	Static descriptor registry	/agent-platform descriptors	Pepper_P13_UI_authority	Pepper P13 route registry	self	compiled reviewed descriptors	none	none	none	none	none	none	none	none	none	read_only_low_risk	Pepper_governed_superset	retain_P13_canonical	not_applicable	backend cannot supply executable import path	not_applicable	not_applicable	retain static import registry	/agent-platform route registry	P15.M5	critical	static_evidence_path_line	none	Descriptor count and route validation stay authoritative	Reviewed descriptors remain the only product extension source.
P13_004	Pepper P13	P13	2_products/hermes-agent/web/src/agent-platform/runtime-overview/descriptor.ts:6-22	runtime_overview	web_route	Runtime Overview	/agent-platform/overview	Pepper_P13_UI_authority	Pepper P13 Runtime Overview	self	governed runtime projection	none	none	none	none	none	bounded API projection	none	none	none	read_only_low_risk	Pepper_governed_superset	retain_P13_canonical	P14 runtime projection contract	P13 route descriptor boundary	not_applicable	withhold raw internals	retain current route	/agent-platform/overview	P15.M5	critical	static_evidence_path_line	none	Runtime Overview retained as canonical	Future freshness improvements may be queued separately.
P13_005	Pepper P13	P13	2_products/hermes-agent/web/src/agent-platform/projects-tickets/descriptors.ts:8-24	projects_and_tickets	web_route	Projects list	/agent-platform/projects	Pepper_P13_UI_authority	Pepper P13 Projects	self	project and board projection	none	none	none	none	none	bounded API projection	none	none	none	read_only_low_risk	Pepper_governed_superset	retain_P13_canonical	project board projection contract	P13 descriptor boundary	not_applicable	withhold unauthorized task detail	retain current route	/agent-platform/projects	P15.M5	critical	static_evidence_path_line	none	Projects retained as canonical	Workspace task patterns are reference-only.
P13_006	Pepper P13	P13	2_products/hermes-agent/web/src/agent-platform/projects-tickets/descriptors.ts:26-54	projects_and_tickets	web_route	Project and ticket detail	/agent-platform/projects/:boardSlug and tickets/:taskId	Pepper_P13_UI_authority	Pepper P13 Projects	self	project detail and ticket detail projection	trusted display write only via existing boundary	none	none	none	none	bounded API projection	none	none	none	bounded_state_change	Pepper_governed_superset	retain_P13_canonical	project and ticket API contract	P13 descriptor boundary	approval required for governed mutations	withhold unauthorized ticket content	retain current detail routes	/agent-platform/projects detail	P15.M5	critical	static_evidence_path_line	none	Ticket detail remains P13-owned	No Workspace Kanban authority transfer.
P13_007	Pepper P13	P13	2_products/hermes-agent/web/src/agent-platform/approval-inbox/descriptors.ts:7-40	approvals	web_route	Approval Inbox and detail	/agent-platform/approvals	Pepper_approval_authority	Pepper P13 Approval Inbox	self	approval requests and audit identity	approval decisions through backend	none	none	none	none	bounded API projection	approval decision authority	none	none	approval_required_state_change	Pepper_governed_superset	retain_P13_canonical	approval request and decision contract	backend audit identity required	canonical Pepper approval boundary	redact unauthorized operation detail	retain current approval routes	/agent-platform/approvals	P15.M5	critical	static_evidence_path_line	none	All clients must use Pepper approval authority	Client approval caches remain non-authoritative.
P13_008	Pepper P13	P13	2_products/hermes-agent/web/src/agent-platform/execution-inspector/descriptors.ts:7-40	execution_inspection	web_route	Execution Inspector and detail	/agent-platform/executions	Pepper_P14_runtime_authority	Pepper P13 Execution Inspector	self	execution projection and event summary	none	none	none	none	none	bounded API projection	none	none	none	read_only_low_risk	Pepper_governed_superset	retain_P13_canonical	P14 execution projection contract	no client process handles	not_applicable	retain redaction and withholding	retain current execution routes	/agent-platform/executions	P15.M5	critical	static_evidence_path_line	none	Execution identity remains backend-owned	No direct PID or worker launch authority.
P13_009	Pepper P13	P13	2_products/hermes-agent/web/src/agent-platform/safe-settings/descriptor.ts:6-22	safe_settings	web_route	Safe Settings	/agent-platform/settings	Pepper_P13_UI_authority	Pepper P13 Safe Settings	self	safe product settings only	bounded safe preferences	none	none	none	none	bounded API projection	none	none	none	bounded_state_change	Pepper_governed_superset	retain_P13_canonical	safe settings contract	no credential provider runtime plugin update mutation	not_applicable	never reveal secrets	retain current safe settings route	/agent-platform/settings	P15.M5	critical	static_evidence_path_line	none	Safe Settings remains canonical	Provider and credential settings deferred.
P13_010	Pepper P13	P13	2_products/hermes-agent/web/src/agent-platform/frontend-quality/quality-matrix.ts:41-171	status	background_status_surface	P13 freshness and disabled-state quality	all P13 routes	Pepper_P13_UI_authority	Pepper P13 frontend quality	self	loading stale empty error unavailable states	none	none	none	none	none	none	none	none	none	read_only_low_risk	Pepper_governed_superset	retain_current_authority	frontend state contract	withhold unsafe information	not_applicable	bounded error messaging	retain quality matrix	P13 surfaces	P15.M5	critical	static_evidence_path_line	none	No obsolete P13 surfaces found	Future improvements must preserve this matrix.
